"동별(1)","동별(2)",시점,발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),사망 (명),사망 (명),사망 (명),사망 (명),부상 (명),부상 (명),부상 (명),부상 (명),이재민수 (명),인명구조 (명)
"동별(1)","동별(2)",시점,소계,실화,방화,기타,동수 (동),이재세대수 (가구),면적 (m²),소계,부동산,동산,소계,소계,남,여,미상,소계,남,여,미상,소계,남,여,미상,소계,소계
"합계","강남구",2024,387,358,-,29,28,48,1557,1475352,680281,795071,65134752,16,15,1,-,1,1,-,-,15,14,1,-,178,72
"합계","송파구",2020,307,292,5,10,58,4,724,379677,184717,194960,14315436,-,-,-,-,1,-,-,-,7,-,-,-,6,14
"합계","송파구",2021,263,237,4,22,55,3,457,788289,228466,559823,13179557,-,-,-,-,1,-,-,-,5,-,-,-,7,19
"합계","송파구",2022,350,328,4,18,82,4,1424,1043294,490790,552504,5286418,13,12,1,-,1,1,-,-,12,11,1,-,8,11
"합계","송파구",2023,382,354,10,18,88,3,1222,894415,467104,427311,5729071,10,6,4,-,3,1,2,-,7,5,2,-,9,35
"합계","송파구",2024,389,367,8,14,48,19,696,678788,335981,342807,5164285,15,6,9,-,1,-,1,-,14,6,8,-,65,62
"합계","강동구",2020,221,203,4,14,29,10,519,363839,155078,208761,2988511,-,-,-,-,3,-,-,-,19,-,-,-,21,30
"합계","강동구",2021,211,188,5,18,33,4,817,346741,100171,246570,2683025,-,-,-,-,1,-,-,-,12,-,-,-,7,19
"합계","강동구",2022,194,162,2,30,51,6,2183,807586,300126,507460,18613019,26,14,12,-,1,1,-,-,25,13,12,-,98,21
"합계","강동구",2023,171,150,-,21,10,-,407,681957,144166,537791,24928028,5,2,3,-,1,-,1,-,4,2,2,-,-,2
"합계","강동구",2024,185,160,3,22,-,13,797,840985,414611,426374,18607127,23,13,7,3,2,2,-,-,21,11,7,3,19,17
